x_m,y_m,forward_from_s1_m,lateral_from_s1_m,in_signal_region,in_bearing_region,sampled_signal_margin_m,sampled_min_target_distance_m,sampled_max_target_distance_m
500.0,-800.0,500.0,-800.0,True,True,46.59816729385909,791.3647488515145,1295.802033485296
600.0,-800.0,600.0,-800.0,True,True,2.921501626543659,789.4167523017528,1220.4285056435615
300.0,-700.0,300.0,-700.0,True,True,4.066610554181011,694.6952513026025,1401.1376519725818
400.0,-700.0,400.0,-700.0,True,True,70.64563810027664,692.9492407633218,1316.635692656852
500.0,-700.0,500.0,-700.0,True,True,130.79591363647717,691.3666329473904,1234.45225690617
600.0,-700.0,600.0,-700.0,True,True,81.22468496985687,689.4255692208533,1155.082335586293
700.0,-700.0,700.0,-700.0,True,True,13.517242110328084,687.7837331444924,1079.14689889108
300.0,-600.0,300.0,-600.0,True,True,73.48753400181522,594.6981549683934,1352.019298816163
400.0,-600.0,400.0,-600.0,True,True,145.45905942098955,592.9942705183151,1264.238510635591
500.0,-600.0,500.0,-600.0,True,True,211.29445742110795,591.3691542354933,1178.4064830001769
600.0,-600.0,600.0,-600.0,True,True,154.93750106941138,589.437377654614,1094.9815827581733
700.0,-600.0,700.0,-600.0,True,True,81.77846942925305,587.855782919318,1014.5577824758643
800.0,-600.0,800.0,-600.0,True,True,3.9423052309875857,586.0298152610208,996.0576947690124
200.0,-500.0,200.0,-500.0,True,True,51.65167778396767,496.53158647160154,1400.850749210889
300.0,-500.0,300.0,-500.0,True,True,134.88882575499906,494.7022325229961,1308.711446029054
400.0,-500.0,400.0,-500.0,True,True,214.34766886050568,493.05756201546427,1217.8129890792782
500.0,-500.0,500.0,-500.0,True,True,286.84004456343564,491.37270173402356,1128.4552732709235
600.0,-500.0,600.0,-500.0,True,True,222.75282265621365,489.4540109726332,1041.0351248520403
700.0,-500.0,700.0,-500.0,True,True,143.77962720234382,487.95735412553654,956.0841796507524
800.0,-500.0,800.0,-500.0,True,True,60.79103555245422,486.02983770904683,939.2089644475458
100.0,-400.0,100.0,-400.0,True,True,10.46765377905433,398.2230083704923,1461.7829725229628
200.0,-400.0,200.0,-400.0,True,True,100.75658364473168,396.61887984360834,1366.4378091083465
300.0,-400.0,300.0,-400.0,True,True,188.8436383391612,394.7083761508764,1271.8078131398495
400.0,-400.0,400.0,-400.0,True,True,273.9579702847104,393.1530415165551,1178.0653381567233
500.0,-400.0,500.0,-400.0,True,True,354.972789686325,391.3780620290114,1085.440356891646
600.0,-400.0,600.0,-400.0,True,True,282.995312233626,389.4791849868861,994.2452392502628
700.0,-400.0,700.0,-400.0,True,True,198.0674128183657,388.11124356130705,904.9123842530619
800.0,-400.0,800.0,-400.0,True,True,110.00223231251664,386.0298717872733,889.9977676874834
900.0,-400.0,900.0,-400.0,True,True,19.64487118515183,384.31497499207836,980.3551288148482
100.0,-300.0,100.0,-300.0,True,True,47.25176036500045,298.28132751281237,1435.8199480973155
200.0,-300.0,200.0,-300.0,True,True,141.27329160081354,296.76498333326276,1338.6268153435917
300.0,-300.0,300.0,-300.0,True,True,233.83507190683122,294.718688827307,1241.8794539566532
400.0,-300.0,400.0,-300.0,True,True,324.3617580987783,293.31360119640345,1145.6907984104716
500.0,-300.0,500.0,-300.0,True,True,411.95726306008794,291.3871014059746,1050.2143747660155
600.0,-300.0,600.0,-300.0,True,True,333.6080208548218,289.52174740233164,955.6636753418649
700.0,-300.0,700.0,-300.0,True,True,242.9805669773716,288.364500376144,862.3432540297802
800.0,-300.0,800.0,-300.0,True,True,150.24793376021978,286.0299296939307,849.7520662397802
900.0,-300.0,900.0,-300.0,True,True,56.03033619525149,284.4138006926484,943.9696638047485
100.0,-200.0,100.0,-200.0,True,True,74.93100392474616,198.39842814388948,1416.4562781640268
200.0,-200.0,200.0,-200.0,True,True,171.98314413020285,196.90009717957938,1317.8358074331702
300.0,-200.0,300.0,-200.0,True,True,268.27150302131486,194.73959249344304,1219.4400529570055
400.0,-200.0,400.0,-200.0,True,True,363.46458450699515,193.6399319352482,1121.3281723735174
500.0,-200.0,500.0,-200.0,True,True,457.0154590058827,191.4055858483935,1023.5817981779871
600.0,-200.0,600.0,-200.0,True,True,372.2573636759249,189.6092004617656,926.3166440068052
700.0,-200.0,700.0,-200.0,True,True,276.77045859286557,188.5444048311695,829.7019659894622
800.0,-200.0,800.0,-200.0,True,True,180.20665917022234,186.03004985574555,819.7933408297777
900.0,-200.0,900.0,-200.0,True,True,82.90607145520687,184.61966321525247,917.0939285447931
100.0,-100.0,100.0,-100.0,True,True,92.6977163138447,98.75283407136476,1403.965046768044
200.0,-100.0,200.0,-100.0,True,True,191.8064850421681,97.13341524467049,1304.4005059601689
300.0,-100.0,300.0,-100.0,True,True,290.6749318877679,94.80460023088278,1204.9080908317833
400.0,-100.0,400.0,-100.0,True,True,389.1916703319655,94.65715943853512,1105.5072748537848
500.0,-100.0,500.0,-100.0,True,True,487.164889550784,91.46449432516292,1006.225204493204
600.0,-100.0,600.0,-100.0,True,True,396.63993747582856,89.89135431508689,907.1008706644146
700.0,-100.0,700.0,-100.0,True,True,297.82942446009156,89.12855944699612,808.192314342872
800.0,-100.0,800.0,-100.0,True,True,198.72372476222642,86.03044936502091,801.2762752377736
900.0,-100.0,900.0,-100.0,True,True,99.42028594699389,85.30902687868952,900.5797140530061
100.0,0.0,100.0,0.0,True,True,99.98313055104632,11.785715214285702,1400.0
200.0,0.0,200.0,0.0,True,True,199.96219271243308,10.007619340250699,1300.0
300.0,0.0,300.0,0.0,True,True,299.935513177786,7.232949976512712,1200.0
400.0,0.0,400.0,0.0,True,True,399.9003554351867,20.015238680500964,1100.0
500.0,0.0,500.0,0.0,True,True,499.85191614697374,9.767760764309127,1000.0
600.0,0.0,600.0,0.0,True,True,404.9992330767594,14.465899953026284,900.0
700.0,0.0,700.0,0.0,True,True,304.9992339974592,18.40672771172307,800.0
800.0,0.0,800.0,0.0,True,True,204.99923468653662,13.97486982278131,795.0007653134634
900.0,0.0,900.0,0.0,True,True,104.99923522163033,21.698849929539776,895.0007647783697
1000.0,0.0,1000.0,0.0,True,True,4.999235649167645,19.535521528618098,995.0007643508324
100.0,100.0,100.0,100.0,True,True,92.6977163138447,98.75283407136476,1403.9650467680435
200.0,100.0,200.0,100.0,True,True,191.8064850421681,97.13341524467052,1304.4005059601684
300.0,100.0,300.0,100.0,True,True,290.6749318877679,94.80460023088278,1204.9080908317828
400.0,100.0,400.0,100.0,True,True,389.1916703319656,94.65715943853509,1105.5072748537843
500.0,100.0,500.0,100.0,True,True,487.164889550784,91.46449432516296,1006.2252044932036
600.0,100.0,600.0,100.0,True,True,396.63993747582856,89.8913543150869,907.1008706644142
700.0,100.0,700.0,100.0,True,True,297.82942446009156,89.12855944699619,808.1923143428716
800.0,100.0,800.0,100.0,True,True,198.72372476222642,86.03044936502097,801.2762752377736
900.0,100.0,900.0,100.0,True,True,99.42028594699389,85.30902687868955,900.5797140530061
100.0,200.0,100.0,200.0,True,True,74.93100392474616,198.39842814388948,1416.4562781640263
200.0,200.0,200.0,200.0,True,True,171.98314413020285,196.90009717957943,1317.8358074331697
300.0,200.0,300.0,200.0,True,True,268.27150302131486,194.73959249344304,1219.440052957005
400.0,200.0,400.0,200.0,True,True,363.46458450699515,193.63993193524817,1121.328172373517
500.0,200.0,500.0,200.0,True,True,457.0154590058827,191.40558584839354,1023.5817981779867
600.0,200.0,600.0,200.0,True,True,372.2573636759249,189.60920046176565,926.3166440068047
700.0,200.0,700.0,200.0,True,True,276.77045859286557,188.54440483116954,829.7019659894619
