x_m,y_m,forward_from_s1_m,lateral_from_s1_m,in_signal_region,in_bearing_region,sampled_signal_margin_m,sampled_min_target_distance_m,sampled_max_target_distance_m
500.0,-850.0,500.0,-850.0,True,True,3.0170377740242884,841.1640512565464,1329.1548136628528
450.0,-800.0,450.0,-800.0,True,True,19.483814721046656,792.0408140366671,1335.658548322466
500.0,-800.0,500.0,-800.0,True,True,46.19496539363661,791.1694033945921,1296.7402037826619
550.0,-800.0,550.0,-800.0,True,True,31.926936710751306,790.2914925161097,1258.6050033690958
600.0,-800.0,600.0,-800.0,True,True,2.921501626543659,789.4145303028407,1221.3263089384195
400.0,-750.0,400.0,-750.0,True,True,31.0578179173433,742.9177523494304,1345.8510306607568
450.0,-750.0,450.0,-750.0,True,True,60.75508696317354,742.0507806236969,1305.3223338049663
500.0,-750.0,500.0,-750.0,True,True,88.675106719886,741.1725227103326,1265.4713720702914
550.0,-750.0,550.0,-750.0,True,True,72.82324788567644,740.2952755837958,1226.3642166701081
600.0,-750.0,600.0,-750.0,True,True,42.57804197224368,739.4190428416805,1188.0743202040478
650.0,-750.0,650.0,-750.0,True,True,10.729116082890187,738.5438280944841,1150.6832703779667
300.0,-700.0,300.0,-700.0,True,True,2.6621595895916244,694.6609589761777,1402.1750380587096
350.0,-700.0,350.0,-700.0,True,True,37.36296056809181,693.7949034797789,1359.6493061647793
400.0,-700.0,400.0,-700.0,True,True,70.1516417766469,692.9323197141559,1317.6485245139495
450.0,-700.0,450.0,-700.0,True,True,101.13959719146567,692.053665709515,1276.2245227832013
500.0,-700.0,500.0,-700.0,True,True,130.35519999049257,691.1760933176453,1235.4353204245992
550.0,-700.0,550.0,-700.0,True,True,112.78638228648583,690.2996066636836,1195.3459036413078
600.0,-700.0,600.0,-700.0,True,True,81.22468496985687,689.4242098886282,1156.0290773814804
650.0,-700.0,650.0,-700.0,True,True,48.081854589809836,688.5499071493739,1117.5663855677205
700.0,-700.0,700.0,-700.0,True,True,13.517242110328084,687.6767026187471,1080.0490843245605
250.0,-650.0,250.0,-650.0,True,True,0.23290399857660304,645.5395346479514,1420.7132280578962
300.0,-650.0,300.0,-650.0,True,True,37.3959511105536,644.6723160766439,1376.9449788492313
350.0,-650.0,350.0,-650.0,True,True,73.37282999217587,643.8088889170425,1333.614964364727
400.0,-650.0,400.0,-650.0,True,True,108.0227264477054,642.9349473678313,1290.767318914201
450.0,-650.0,450.0,-650.0,True,True,140.51233818705373,642.057000132945,1248.451709108677
500.0,-650.0,500.0,-650.0,True,True,171.1145463605112,641.1802207857677,1206.7241061550892
550.0,-650.0,550.0,-650.0,True,True,151.6844471239857,640.3046141239216,1165.6476597905653
600.0,-650.0,600.0,-650.0,True,True,118.7285586700458,639.430184964873,1125.2936795231026
650.0,-650.0,650.0,-650.0,True,True,84.22741395245293,638.5569381459794,1085.7427243937975
700.0,-650.0,700.0,-650.0,True,True,48.34906325446775,637.6848785245372,1047.08579494399
750.0,-650.0,750.0,-650.0,True,True,11.24341647648896,636.8140109778273,1009.4256091326938
250.0,-600.0,250.0,-600.0,True,True,32.33925208397136,595.5500548394363,1397.6082118397326
300.0,-600.0,300.0,-600.0,True,True,70.76207333012121,594.6855827288449,1353.0927951183824
350.0,-600.0,350.0,-600.0,True,True,108.0582808826116,593.8164020936904,1308.9734567976154
400.0,-600.0,400.0,-600.0,True,True,144.08349914505334,592.938018168266,1265.291630020574
450.0,-600.0,450.0,-600.0,True,True,178.67390942211182,592.0608977271305,1222.0942301637558
500.0,-600.0,500.0,-600.0,True,True,210.81047122588734,591.1850463940453,1179.4344855900074
550.0,-600.0,550.0,-600.0,True,True,189.36410698367547,590.3104698179867,1137.3728958430422
600.0,-600.0,600.0,-600.0,True,True,154.93750106941138,589.4371736732118,1095.9783312628995
650.0,-600.0,650.0,-600.0,True,True,119.01719474711194,588.5651636593224,1055.3292855773652
700.0,-600.0,700.0,-600.0,True,True,81.77846942925305,587.6944455013293,1015.5152876233102
750.0,-600.0,750.0,-600.0,True,True,43.3752798217464,586.825024949715,976.6384683167444
800.0,-600.0,800.0,-600.0,True,True,3.9423052309875857,585.9569077804971,996.0576947690124
200.0,-550.0,200.0,-550.0,True,True,22.27046019735417,546.4282077321867,1421.4921571453003
250.0,-550.0,250.0,-550.0,True,True,62.90490938744426,545.5625031515798,1375.9329021522165
300.0,-550.0,300.0,-550.0,True,True,102.61083786214192,544.6980767065688,1330.6925826893464
350.0,-550.0,350.0,-550.0,True,True,141.2619770235566,543.8191775605436,1285.804863898043
400.0,-550.0,400.0,-550.0,True,True,178.71245945605517,542.9416545373415,1241.307998211277
450.0,-550.0,450.0,-550.0,True,True,214.79416671786487,542.0655143201742,1197.2455657978899
500.0,-550.0,500.0,-550.0,True,True,249.2742648621462,541.1907636249654,1153.6673451312263
550.0,-550.0,550.0,-550.0,True,True,225.64748025113897,540.3174092004441,1110.6303352698205
600.0,-550.0,600.0,-550.0,True,True,189.67790299545254,539.4454578282371,1068.1999532021036
