absent_count,all_channels_resolved,average_time_per_cleared_s,case,clear_failure,clear_success,cleared_count,dedicated_localization_measurements,directional_count,error,global_task_steps,last_discovery_vertex,localization_clear_movement_m,measure_count,movement_m,no_signal_count,opportunistic_measurements,opportunistic_positive,policy,positive_directions,runtime_source_count_used,scheduler_version,search_measurements,search_movement_m,source_count,source_count_provenance,speculative_clear_attempts,speculative_clear_failure,speculative_clear_success,status,strict_termination_verified,switch_count,total_triangle_vertices,triangle_vertex_measurements,triangle_vertices_visited,virtual_time_s,wall_time_s,warm_start_measurements
10,,1006.132000852958,n10_all_directional_boundary,2,10,10,0,10,,12,24,12425.237975850272,418,37536.60004264788,394,20,14,Q4-V3-UNKNOWN,24,False,Q4_V3_unknown_count_certificate_joint,398,25111.362066797607,10,unknown_by_problem_statement,4,2,2,SUCCESS,True,408,27,,27,10061.32000852958,0.1463375999883283,
10,True,1032.2740431081443,n10_all_directional_boundary,0,10,10,,10,,,,,461,37538.70215540722,433,,,Q4-BASE,28,,Q4_BASE_full_triangle_v1,,,10,,,,,SUCCESS,True,460,,459,27,10322.740431081444,0.2490749999997206,0
9,,776.4598419041066,n11_mixed,5,11,11,0,6,,15,24,7630.059980144478,324,32685.291304725855,293,28,20,Q4-V3-UNKNOWN,31,False,Q4_V3_unknown_count_certificate_joint,296,25055.23132458138,11,unknown_by_problem_statement,9,5,4,SUCCESS,True,314,27,,27,8541.058260945172,0.19852419997914694,
9,True,827.1009261186026,n11_mixed,0,11,11,,6,,,,,403,33130.55093652314,368,,,Q4-BASE,35,,Q4_BASE_full_triangle_v1,,,11,,,,,SUCCESS,True,402,,403,27,9098.110187304628,0.26118199998745695,0
8,,738.8888295715797,n12_directional,3,12,12,3,11,,18,8,9871.967707497168,303,34983.329774294776,275,48,15,Q4-V3-UNKNOWN,28,False,Q4_V3_unknown_count_certificate_joint,252,25111.362066797607,12,unknown_by_problem_statement,9,3,6,SUCCESS,True,286,27,,27,8866.665954858956,0.21061639999970794,
8,True,903.684316573133,n12_directional,0,12,12,,11,,,,,481,39511.058994387975,446,,,Q4-BASE,35,,Q4_BASE_full_triangle_v1,,,12,,,,,SUCCESS,True,477,,473,27,10844.211798877595,0.2778002999839373,0
7,,718.0362369430501,n13_boundary,0,13,13,0,9,,13,24,11060.993334500648,341,36172.35540129825,310,26,18,Q4-V3-UNKNOWN,31,False,Q4_V3_unknown_count_certificate_joint,315,25111.362066797607,13,unknown_by_problem_statement,3,0,3,SUCCESS,True,330,27,,27,9334.471080259651,0.1985545999777969,
7,True,750.1996263024557,n13_boundary,0,13,13,,9,,,,,378,37102.97570965963,343,,,Q4-BASE,35,,Q4_BASE_full_triangle_v1,,,13,,,,,SUCCESS,True,377,,378,27,9752.595141931924,0.26143889999366365,0
6,,612.16304711592,n14_mixed,4,14,14,0,8,,17,3,10209.622728542154,242,35251.41329811442,204,53,24,Q4-V3-UNKNOWN,38,False,Q4_V3_unknown_count_certificate_joint,189,25041.790569572266,14,unknown_by_problem_statement,8,4,4,SUCCESS,True,228,27,,27,8570.28265962288,0.2507220999978017,
6,True,703.1937627556302,n14_mixed,0,14,14,,8,,,,,366,37903.563392894124,323,,,Q4-BASE,43,,Q4_BASE_full_triangle_v1,,,14,,,,,SUCCESS,True,364,,364,27,9844.712678578824,0.28945690000546165,0
5,,1069.4582330203912,n15_all_directional,4,15,15,29,15,,48,18,45188.005409731726,321,70299.36747652934,286,65,18,Q4-V3-UNKNOWN,35,False,Q4_V3_unknown_count_certificate_joint,227,25111.362066797607,15,unknown_by_problem_statement,11,4,7,SUCCESS,True,290,27,,27,16041.873495305867,0.2496967000188306,
5,True,770.6801132077039,n15_all_directional,0,15,15,,15,,,,,447,44061.0084905778,404,,,Q4-BASE,43,,Q4_BASE_full_triangle_v1,,,15,,,,,SUCCESS,True,438,,436,27,11560.20169811556,0.3174167999823112,0
4,,652.5936324040657,n16_mixed_boundary,3,16,16,5,10,,24,19,17626.128525527663,302,42737.49059232526,259,49,24,Q4-V3-UNKNOWN,43,False,Q4_V3_unknown_count_certificate_joint,248,25111.362066797607,16,unknown_by_problem_statement,6,3,3,SUCCESS,True,295,27,,27,10441.498118465051,0.26108599998406135,
4,True,687.2903810666512,n16_mixed_boundary,0,16,16,,10,,,,,366,43618.23048533212,322,,,Q4-BASE,44,,Q4_BASE_full_triangle_v1,,,16,,,,,SUCCESS,True,363,,362,27,10996.64609706642,0.31959980001556687,0
