absent_by_cardinality,absent_count,average_time_per_cleared_s,case,clear_failure,clear_success,cleared_count,dedicated_localization_measurements,directional_count,dynamic_certificate_complete,dynamic_fallback_used,dynamic_maximum_edge_m,dynamic_points_visited,error,global_task_steps,last_discovery_vertex,localization_clear_movement_m,measure_count,movement_m,no_signal_count,opportunistic_measurements,opportunistic_positive,policy,positive_directions,ray_measurements,ray_positive,runtime_source_count_used,scheduler_version,search_measurements,search_movement_m,source_count,source_count_provenance,speculative_clear_attempts,speculative_clear_failure,speculative_clear_success,status,strict_termination_verified,switch_count,total_triangle_vertices,triangle_vertices_visited,virtual_time_s,wall_time_s,wedge_clear_attempts,wedge_clear_success
0,10,843.9551728931505,n10_all_directional_boundary,4,10,10,1,10,True,False,997.830589490675,28,,8,,8009.555015578286,452,28387.758644657533,425,19,16,Q4-V4-DYNAMIC,27,0,0,False,Q4_V4_dynamic_certificate_ray_joint,432,20378.203629079246,10,unknown_by_problem_statement,7,4,3,SUCCESS,True,440,,,8439.551728931505,0.166303500009235,0,0
,10,1016.3989936671098,n10_all_directional_boundary,2,10,10,0,10,,,,,,12,24,11778.587616557883,457,36889.94968335549,433,21,14,Q4-V3-UNKNOWN,24,,,False,Q4_V3_unknown_count_certificate_joint,436,25111.362066797607,10,unknown_by_problem_statement,8,2,6,SUCCESS,True,445,27,27,10163.989936671098,0.1448128999909386,,
0,9,861.3467141013424,n11_mixed,37,11,11,3,8,True,False,997.830589490675,28,,8,,16808.184956448928,352,36059.06927557377,326,33,13,Q4-V4-DYNAMIC,26,0,0,False,Q4_V4_dynamic_certificate_ray_joint,316,19250.884319124834,11,unknown_by_problem_statement,42,37,5,SUCCESS,True,337,,,9474.813855114766,0.17887709999922663,37,2
,9,772.5833492004859,n11_mixed,1,11,11,0,8,,,,,,11,9,7658.8045934816455,318,32727.08420602672,290,31,17,Q4-V3-UNKNOWN,28,,,False,Q4_V3_unknown_count_certificate_joint,287,25068.279612545077,11,unknown_by_problem_statement,5,1,4,SUCCESS,True,305,27,27,8498.416841205346,0.17964429999119602,,
0,8,832.7801495122875,n12_directional,15,12,12,5,11,True,False,997.830589490675,28,,10,,18606.577016295058,344,39191.80897073721,310,30,19,Q4-V4-DYNAMIC,34,0,0,False,Q4_V4_dynamic_certificate_ray_joint,309,20585.23195444217,12,unknown_by_problem_statement,17,15,2,SUCCESS,True,330,,,9993.36179414745,0.19657420000294223,12,1
,8,772.6478674913483,n12_directional,2,12,12,3,11,,,,,,17,24,11027.509982683274,331,36138.87204948088,303,47,15,Q4-V3-UNKNOWN,28,,,False,Q4_V3_unknown_count_certificate_joint,281,25111.362066797607,12,unknown_by_problem_statement,8,2,6,SUCCESS,True,323,27,27,9271.77440989618,0.1962614000076428,,
0,7,611.794520406162,n13_boundary,4,13,13,0,10,True,False,997.830589490675,28,,2,,8195.473026173791,392,27661.643826400516,361,25,18,Q4-V4-DYNAMIC,31,0,0,False,Q4_V4_dynamic_certificate_ray_joint,367,19466.170800226726,13,unknown_by_problem_statement,7,4,3,SUCCESS,True,384,,,7953.3287652801055,0.1928014000004623,5,1
,7,748.4962532658112,n13_boundary,2,13,13,0,10,,,,,,15,24,11380.894395480116,395,36492.25646227773,363,29,19,Q4-V3-UNKNOWN,32,,,False,Q4_V3_unknown_count_certificate_joint,366,25111.362066797607,13,unknown_by_problem_statement,5,2,3,SUCCESS,True,386,27,27,9730.451292455546,0.19015879998914897,,
0,6,577.5760383633119,n14_mixed,22,14,14,0,9,True,False,997.830589490675,28,,7,,12280.35844074555,310,30490.322685431798,274,46,22,Q4-V4-DYNAMIC,36,0,0,False,Q4_V4_dynamic_certificate_ray_joint,264,18209.964244686256,14,unknown_by_problem_statement,30,22,8,SUCCESS,True,302,,,8086.064537086367,0.24011790001532063,23,1
,6,630.0322615795158,n14_mixed,0,14,14,4,9,,,,,,17,20,10820.083135814375,263,35937.25831056609,227,41,21,Q4-V3-UNKNOWN,36,,,False,Q4_V3_unknown_count_certificate_joint,218,25117.17517475172,14,unknown_by_problem_statement,3,0,3,SUCCESS,True,248,27,27,8820.45166211322,0.23680299997795373,,
0,5,673.8239215632178,n15_directional,101,15,15,4,13,True,False,997.830589490675,28,,12,,22432.794758050528,273,40506.79411724127,235,55,20,Q4-V4-DYNAMIC,38,0,0,False,Q4_V4_dynamic_certificate_ray_joint,214,18073.999359190722,15,unknown_by_problem_statement,109,101,8,SUCCESS,True,263,,,10107.358823448267,0.25259799999184906,101,3
,5,590.7648821096027,n15_directional,3,15,15,0,13,,,,,,18,18,10076.00409142259,291,35187.3661582202,255,46,21,Q4-V3-UNKNOWN,36,,,False,Q4_V3_unknown_count_certificate_joint,245,25111.362066797607,15,unknown_by_problem_statement,7,3,4,SUCCESS,True,285,27,27,8861.47323164404,0.23788349999813363,,
4,4,554.981238628174,n16_all_directional,21,16,16,1,16,False,False,1872.9999999999998,26,,6,,15053.043329677417,350,33228.49909025388,314,30,19,Q4-V4-DYNAMIC,36,0,0,False,Q4_V4_dynamic_certificate_ray_joint,319,18175.45576057646,16,unknown_by_problem_statement,26,21,5,SUCCESS,True,341,,,8879.699818050784,0.23352700000395998,21,2
,4,624.3276629858251,n16_all_directional,3,16,16,0,16,,,,,,19,26,13129.850972068405,377,38241.213038866015,340,28,21,Q4-V3-UNKNOWN,37,,,False,Q4_V3_unknown_count_certificate_joint,349,25111.362066797607,16,unknown_by_problem_statement,7,3,4,SUCCESS,True,367,27,27,9989.242607773202,0.23295190001954325,,
