absent_by_cardinality,absent_count,average_time_per_cleared_s,blind_wedge_used,case,certificate_template_points,clear_failure,clear_success,cleared_count,dedicated_localization_measurements,directional_count,dynamic_certificate_complete,dynamic_fallback_used,dynamic_maximum_edge_m,dynamic_points_visited,error,global_task_steps,joint_scheduler_calls,localization_clear_movement_m,measure_count,movement_m,no_signal_count,opportunistic_measurements,opportunistic_positive,policy,positive_directions,q2_probe_measurements,q2_probe_positive,ray_measurements,ray_positive,runtime_source_count_used,scheduler_version,search_measurements,search_movement_m,source_count,source_count_provenance,speculative_clear_attempts,speculative_clear_failure,speculative_clear_success,state_box_best_score,state_box_score_evaluations,state_filter_absent,status,strict_termination_verified,switch_count,virtual_time_s,wall_time_s,wedge_clear_attempts,wedge_clear_success
0,10,883.1529935228821,True,n10_all_directional_boundary,25,14,10,10,5,10,True,False,988.440308691018,25,,0,28,12966.946054897173,458,30052.64967614408,434,11,10,Q4-V5-LOW-COUNT-JOINT,24,2,2,0,0,False,Q4_V5_true_joint_low_count,442,17085.703621246907,10,unknown_by_problem_statement,19,14,5,14,104,0,SUCCESS,True,439,8831.52993522882,0.30685940000694245,15,3
0,10,843.9551728931505,,n10_all_directional_boundary,,4,10,10,1,10,True,False,997.830589490675,28,,8,,8009.555015578286,452,28387.758644657533,425,19,16,Q4-V4-DYNAMIC,27,,,0,0,False,Q4_V4_dynamic_certificate_ray_joint,432,20378.203629079246,10,unknown_by_problem_statement,7,4,3,,,,SUCCESS,True,440,8439.551728931505,0.15821349999168888,0,0
0,10,733.8511986316495,False,n10_mixed_a,25,3,10,10,4,3,True,False,988.440308691018,25,,0,30,9275.521044750156,323,26777.55993158247,297,22,12,Q4-V5-LOW-COUNT-JOINT,26,4,4,0,0,False,Q4_V5_true_joint_low_count,297,17502.038886832313,10,unknown_by_problem_statement,10,3,7,14,114,0,SUCCESS,True,309,7338.511986316495,0.35559839999768883,0,0
0,10,852.3309736897551,,n10_mixed_a,,4,10,10,2,3,True,False,997.830589490675,28,,10,,13758.803424710433,345,32041.548684487767,317,20,16,Q4-V4-DYNAMIC,28,,,0,0,False,Q4_V4_dynamic_certificate_ray_joint,323,18282.74525977734,10,unknown_by_problem_statement,8,4,4,,,,SUCCESS,True,328,8523.30973689755,0.1916450000135228,0,0
0,10,805.7177068640198,False,n10_mixed_b,25,4,10,10,4,10,True,False,988.440308691018,25,,0,27,12524.537850926003,331,30095.885343200986,302,28,15,Q4-V5-LOW-COUNT-JOINT,29,2,2,0,0,False,Q4_V5_true_joint_low_count,299,17571.347492274985,10,unknown_by_problem_statement,10,4,6,14,102,0,SUCCESS,True,321,8057.177068640198,0.33479069999884814,0,0
0,10,873.324253701332,,n10_mixed_b,,105,10,10,0,10,True,False,997.830589490675,28,,4,,12857.975837509086,357,31196.212685066566,334,33,13,Q4-V4-DYNAMIC,23,,,0,0,False,Q4_V4_dynamic_certificate_ray_joint,324,18338.236847557455,10,unknown_by_problem_statement,111,105,6,,,,SUCCESS,True,344,8733.24253701332,0.17640709999250248,107,2
0,9,768.6612688724962,True,n11_mixed,25,14,11,11,7,8,True,False,988.440308691018,25,,0,30,14513.101078009688,338,31701.36978798727,310,30,10,Q4-V5-LOW-COUNT-JOINT,28,5,5,0,0,False,Q4_V5_true_joint_low_count,301,17188.268709977583,11,unknown_by_problem_statement,21,14,7,14,114,0,SUCCESS,True,328,8455.273957597457,0.36698220000835136,10,1
0,9,861.3467141013424,,n11_mixed,,37,11,11,3,8,True,False,997.830589490675,28,,8,,16808.184956448928,352,36059.06927557377,326,33,13,Q4-V4-DYNAMIC,26,,,0,0,False,Q4_V4_dynamic_certificate_ray_joint,316,19250.884319124834,11,unknown_by_problem_statement,42,37,5,,,,SUCCESS,True,337,9474.813855114766,0.18814589999965392,37,2
0,9,706.9194866560439,True,n11_boundary,25,9,11,11,1,6,True,False,988.440308691018,25,,0,29,9260.910777643829,366,27545.571766082398,342,23,12,Q4-V5-LOW-COUNT-JOINT,24,1,1,0,0,False,Q4_V5_true_joint_low_count,342,18284.660988438565,11,unknown_by_problem_statement,16,9,7,14,108,0,SUCCESS,True,355,7776.114353216483,0.3430707000079565,10,2
0,9,814.0069083242772,,n11_boundary,,2,11,11,3,6,True,False,997.830589490675,28,,8,,12748.539937354612,384,33020.379957835255,353,20,17,Q4-V4-DYNAMIC,31,,,0,0,False,Q4_V4_dynamic_certificate_ray_joint,361,20271.840020480646,11,unknown_by_problem_statement,5,2,3,,,,SUCCESS,True,369,8954.07599156705,0.20125260000349954,0,0
